	State	Area code	Total day minutes	Total day calls	International plan	Voice mail plan	Churn Prediction	False_Probability	True_Probability
0	LA	408	184.5	97	No	No	False	0.744	0.256
1	IN	415	129.1	137	No	No	True	0.43	0.57
2	NY	415	332.9	67	No	No	True	0.436	0.564
3	SC	415	110.4	103	No	No	False	0.736	0.264
4	HI	510	119.3	117	No	No	False	0.796	0.204
5	AK	408	146.3	128	No	Yes	False	0.856	0.144
6	MI	415	211.3	120	No	No	False	0.816	0.184
7	ID	415	159.1	114	No	No	True	0.186	0.814
8	VA	408	186.1	112	No	No	False	0.844	0.156
9	WI	415	148.8	70	No	No	False	0.794	0.206
10	MN	510	193.7	91	No	Yes	False	0.856	0.144
11	HI	415	235.8	109	No	No	False	0.862	0.138
12	MN	415	214.1	72	No	No	False	0.828	0.172
13	VT	510	179.3	104	No	Yes	False	0.968	0.032
14	LA	415	203.4	100	No	No	False	0.724	0.276
15	MT	415	160.1	110	No	No	False	0.694	0.306
16	ID	415	251.8	72	No	No	False	0.51	0.49
17	MA	415	178.3	137	No	No	False	0.836	0.164
18	KY	408	135.0	99	No	No	False	0.914	0.086
19	MI	510	281.4	102	No	Yes	False	0.836	0.164
20	CO	415	148.6	91	No	Yes	False	0.94	0.06
21	AZ	415	58.9	125	No	No	False	0.788	0.212
22	ID	408	239.8	125	No	No	False	0.716	0.284
23	CA	408	166.3	125	No	No	False	0.91	0.09
24	WA	408	146.7	91	No	No	False	0.942	0.058
25	LA	408	181.5	121	No	No	False	0.906	0.094
26	NE	415	102.8	119	No	No	False	0.85	0.15
27	OH	408	187.9	116	No	No	False	0.924	0.076
28	MO	510	183.6	117	No	No	False	0.838	0.162
29	AL	510	230.9	87	No	No	False	0.736	0.264
30	NH	408	182.1	91	No	Yes	False	0.828	0.172
31	NM	415	119.3	87	No	No	True	0.448	0.552
32	OR	415	116.8	87	No	No	False	0.794	0.206
33	MI	415	202.1	103	No	No	False	0.866	0.134
34	AZ	415	271.6	71	No	No	False	0.622	0.378
35	TX	510	326.5	67	No	No	True	0.468	0.532
36	IN	415	243.8	98	No	No	False	0.798	0.202
37	LA	415	241.1	72	No	No	False	0.816	0.184
38	MS	415	136.1	112	No	No	False	0.906	0.094
39	IN	415	213.4	111	No	No	False	0.712	0.288
40	KY	415	196.6	84	No	Yes	False	0.904	0.096
41	MN	510	134.4	106	No	No	True	0.186	0.814
42	WY	510	83.6	148	No	No	False	0.872	0.128
43	AZ	408	181.8	85	No	No	True	0.432	0.568
44	NM	510	154.0	114	No	Yes	False	0.728	0.272
45	MI	510	119.0	101	No	Yes	False	0.874	0.126
46	FL	408	165.9	126	No	Yes	False	0.552	0.448
47	KS	408	62.6	111	Yes	No	True	0.214	0.786
48	SC	510	168.3	110	No	No	False	0.854	0.146
49	NC	408	262.4	55	No	No	False	0.73	0.27
50	MO	510	94.4	104	No	Yes	False	0.756	0.244
51	WA	415	221.4	103	No	No	False	0.78	0.22
52	SD	408	189.8	96	No	Yes	False	0.824	0.176
53	MT	415	172.3	97	No	No	False	0.568	0.432
54	MN	415	198.4	93	No	No	False	0.854	0.146
55	SD	408	147.5	90	No	Yes	False	0.84	0.16
56	OK	510	303.9	95	No	No	True	0.32	0.68
57	CT	415	230.6	121	No	Yes	False	0.9	0.1
58	CT	415	172.7	93	No	Yes	True	0.404	0.596
59	MN	415	181.5	98	No	No	False	0.958	0.042
60	FL	415	266.6	106	No	No	True	0.492	0.508
61	RI	408	170.4	108	No	No	False	0.87	0.13
62	IN	408	296.4	99	No	No	True	0.416	0.584
63	AL	408	68.7	95	No	Yes	False	0.752	0.248
64	OR	510	233.8	104	No	No	False	0.568	0.432
65	MS	408	236.2	77	Yes	No	True	0.226	0.774
66	CA	408	244.6	89	Yes	No	True	0.15	0.85
67	DE	415	124.4	83	No	No	False	0.88	0.12
68	MS	408	230.0	87	No	No	False	0.752	0.248
69	NC	415	201.8	81	No	No	False	0.926	0.074
70	SD	415	214.0	113	No	Yes	False	0.912	0.088
71	NH	510	210.5	102	No	No	False	0.934	0.066
72	MA	415	105.6	129	No	No	False	0.842	0.158
73	TX	408	138.6	102	No	No	False	0.75	0.25
74	OR	415	234.4	103	No	No	False	0.56	0.44
75	UT	408	145.8	108	No	Yes	False	0.938	0.062
76	NV	415	97.2	80	No	No	False	0.704	0.296
77	NE	415	259.8	85	No	No	True	0.468	0.532
78	AZ	408	239.9	84	No	No	False	0.698	0.302
79	DC	415	221.6	110	No	Yes	False	0.914	0.086
80	MA	510	192.9	131	Yes	No	True	0.134	0.866
81	AZ	408	173.2	91	No	No	False	0.844	0.156
82	MI	415	153.5	99	No	No	False	0.744	0.256
83	TX	510	59.5	103	No	No	False	0.908	0.092
84	ID	510	264.3	79	No	Yes	False	0.866	0.134
85	AL	408	127.9	107	No	No	False	0.898	0.102
86	SD	510	149.0	115	No	No	False	0.844	0.156
87	LA	415	198.9	77	No	Yes	False	0.898	0.102
88	AZ	415	98.2	88	No	No	False	0.69	0.31
89	RI	408	147.9	109	No	No	False	0.698	0.302
90	OH	415	106.4	109	No	Yes	False	0.92	0.08
91	AZ	415	70.9	163	No	Yes	False	0.708	0.292
92	MI	415	214.6	101	No	Yes	False	0.836	0.164
93	NV	408	151.1	123	No	No	False	0.85	0.15
94	MA	510	233.8	103	Yes	No	True	0.172	0.828
95	IN	415	208.9	119	No	No	False	0.878	0.122
96	AL	415	191.9	91	Yes	No	True	0.234	0.766
97	RI	415	119.6	104	No	Yes	False	0.836	0.164
98	ME	408	211.3	61	Yes	No	True	0.442	0.558
99	SD	415	114.3	102	No	Yes	False	0.806	0.194
100	MO	415	154.0	122	No	No	False	0.712	0.288
101	OK	408	214.7	68	No	No	False	0.714	0.286
102	IL	510	231.3	105	No	No	False	0.9	0.1
103	NJ	415	40.9	126	No	Yes	False	0.94	0.06
104	LA	510	310.4	97	No	No	False	0.568	0.432
105	OR	415	216.6	126	No	No	False	0.888	0.112
106	RI	415	209.9	77	No	Yes	False	0.89	0.11
107	NC	415	234.5	109	No	No	False	0.734	0.266
108	MD	510	103.1	90	No	Yes	False	0.81	0.19
109	WI	510	279.8	90	Yes	No	False	0.574	0.426
110	VT	510	136.8	91	Yes	Yes	True	0.454	0.546
111	NY	415	224.5	111	No	No	False	0.828	0.172
112	VT	415	160.6	103	No	No	False	0.928	0.072
113	AZ	510	121.5	97	No	Yes	False	0.814	0.186
114	WV	510	228.1	121	No	No	False	0.602	0.398
115	OK	408	89.7	118	No	No	False	0.576	0.424
116	WI	408	80.2	81	No	Yes	False	0.874	0.126
117	PA	408	125.7	96	No	No	False	0.886	0.114
118	NY	408	160.4	68	No	No	False	0.764	0.236
119	NM	415	169.9	144	No	No	False	0.828	0.172
120	NC	415	142.3	107	No	Yes	False	0.962	0.038
121	WY	415	146.2	55	No	No	False	0.728	0.272
122	PA	510	231.8	120	No	No	False	0.744	0.256
123	NV	415	220.7	82	Yes	Yes	True	0.11	0.89
124	WA	408	128.2	138	Yes	Yes	False	0.752	0.248
125	FL	510	130.2	119	No	No	False	0.778	0.222
126	ME	408	209.6	68	No	Yes	False	0.842	0.158
127	LA	415	215.7	140	No	No	False	0.688	0.312
128	KS	408	150.7	105	No	No	False	0.93	0.07
129	ND	415	161.5	92	No	No	False	0.598	0.402
130	WV	408	235.6	74	No	Yes	False	0.84	0.16
131	AR	415	206.9	143	No	Yes	False	0.794	0.206
132	CA	510	157.6	85	No	No	True	0.18	0.82
133	MN	415	175.6	147	No	No	False	0.738	0.262
134	MT	408	264.7	69	No	No	True	0.282	0.718
135	SD	408	282.3	70	No	Yes	False	0.746	0.254
136	MT	510	193.8	102	No	No	False	0.852	0.148
137	WV	408	266.7	109	No	Yes	False	0.806	0.194
138	CT	415	118.1	117	No	Yes	False	0.82	0.18
139	DE	415	176.8	90	No	No	False	0.93	0.07
140	LA	415	241.9	101	No	No	False	0.73	0.27
141	KS	510	189.5	90	No	No	False	0.896	0.104
142	WV	415	123.1	100	No	No	False	0.952	0.048
143	ND	408	159.1	94	No	No	False	0.922	0.078
144	AK	408	100.1	90	No	No	False	0.74	0.26
145	ME	415	223.2	76	No	No	False	0.824	0.176
146	MN	510	315.6	105	No	Yes	False	0.796	0.204
147	KS	415	189.8	111	No	No	False	0.902	0.098
148	NJ	510	155.4	110	No	Yes	False	0.684	0.316
149	WI	510	154.2	91	No	No	True	0.322	0.678
150	AR	415	178.8	94	No	No	False	0.824	0.176
151	WA	408	149.3	104	No	No	False	0.75	0.25
152	ID	415	94.7	111	Yes	Yes	True	0.444	0.556
153	VA	415	222.8	101	No	No	False	0.754	0.246
154	WV	510	249.9	95	Yes	No	True	0.28	0.72
155	UT	510	87.2	92	No	Yes	True	0.382	0.618
156	NJ	415	224.8	111	No	No	False	0.88	0.12
157	MS	510	261.2	122	No	Yes	False	0.824	0.176
158	ME	415	196.5	98	No	Yes	False	0.914	0.086
159	NM	510	167.3	119	Yes	No	True	0.336	0.664
160	TX	415	109.6	88	No	No	False	0.816	0.184
161	LA	510	276.6	99	No	Yes	False	0.85	0.15
162	TN	415	186.8	124	No	Yes	False	0.916	0.084
163	WI	415	126.9	97	Yes	Yes	True	0.328	0.672
164	MT	510	169.4	107	No	No	False	0.674	0.326
165	ND	408	219.1	100	Yes	No	True	0.416	0.584
166	WI	510	241.7	87	No	Yes	False	0.79	0.21
167	MO	415	281.1	83	No	Yes	False	0.778	0.222
